SYMBOL,OPEN,HIGH,LOW,PREV. CLOSE,LTP,INDICATIVE CLOSE,CHANGE,% CHANGE,VOLUME (shares),VALUE (Crores),52W H,52W L,30 D %CHNG,365 D %CHNG
"PIIND","2,778.80","2,781.30","2,740.00","2,777.30","2,757.20","-","-20.1","-0.72","100436","27.65","4,330.00","2,527.00","6.84","-35.28"
"COLPAL","2,109.50","2,109.50","2,047.30","2,084.80","2,068.60","-","-16.2","-0.78","322106","66.76","2,504.00","1,782.00","0.2","-7.54"
"BLUESTARCO","1,695.50","1,721.10","1,672.00","1,691.40","1,678.00","-","-13.4","-0.79","187632","31.82","2,040.00","1,450.00","4.66","-3.27"
"HDFCBANK","753.95","757.55","747.20","753.95","748.00","-","-5.95","-0.79","25522483","1,913.22","1,020.50","726.65","-6.03","-62.93"
"VMM","109.42","109.42","106.47","107.89","107.00","-","-0.89","-0.82","12787858","137.07","157.60","98.77","-8.27","-23.25"
"VOLTAS","1,340.00","1,353.80","1,322.00","1,333.20","1,322.00","-","-11.2","-0.84","748114","100.17","1,582.50","1,186.80","3.73","0.09"
"TECHM","1,620.00","1,661.50","1,610.50","1,669.00","1,653.90","-","-15.1","-0.9","3355677","553.39","1,854.00","1,304.10","21.22","12.82"
"EICHERMOT","7,899.00","7,899.00","7,794.00","7,912.50","7,835.00","-","4.5","0.06","720608","565.13","8,230.00","5,386.50","9.73","43.25"
"INDIGO","5,260.00","5,282.00","5,137.50","5,230.50","5,177.00","-","-53.5","-1.02","462900","240.84","6,232.50","3,895.20","-4.22","-12.51"
"NESTLEIND","1,529.00","1,529.00","1,497.50","1,520.70","1,505.00","-","-15.7","-1.03","2501825","377.69","1,532.60","1,084.70","3.84","-32.84"
"DABUR","429.00","429.75","420.25","426.10","421.70","-","-4.4","-1.03","2509913","105.92","577.00","403.35","-5.24","-20.33"
"UNITDSPR","1,532.90","1,535.00","1,510.60","1,531.90","1,515.00","-","-16.9","-1.1","784002","119.21","1,536.80","1,210.80","12.09","13.11"
"TATACONSUM","1,098.90","1,098.90","1,081.00","1,094.20","1,082.10","-","-12.1","-1.11","1479617","160.57","1,282.70","1,007.20","-0.72","0.92"
"BOSCHLTD","41,590.00","41,715.00","40,920.00","41,550.00","41,060.00","-","-490","-1.18","19054","78.54","42,985.00","28,610.00","0.74","1.73"
"VEDL","268.80","269.00","263.00","267.50","264.35","-","-3.15","-1.18","15446979","410.36","795.00","249.70","-4.1","-37.92"
"RBLBANK","380.00","381.80","373.00","378.05","373.55","-","-4.5","-1.19","5846031","220.10","383.45","243.25","3.79","40.73"
